2011-11-21 15:46:46 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-21 15:46:46 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/admin/index.php:79) in /home/students/dig4530c_group04/public_html/v2/system/engine/controller.php on line 28
2011-11-21 15:46:46 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/admin/index.php:79) in /home/students/dig4530c_group04/public_html/v2/system/engine/controller.php on line 29
2011-11-21 15:59:23 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-22 11:23:39 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-22 11:23:39 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/admin/index.php:79) in /home/students/dig4530c_group04/public_html/v2/system/engine/controller.php on line 28
2011-11-22 11:23:39 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/admin/index.php:79) in /home/students/dig4530c_group04/public_html/v2/system/engine/controller.php on line 29
2011-11-22 18:30:56 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-22 18:35:01 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-23 10:40:32 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-23 10:56:30 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-23 10:59:31 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-23 11:09:14 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-23 12:15:49 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-23 12:15:49 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:100) in /home/students/dig4530c_group04/public_html/v2/system/engine/controller.php on line 28
2011-11-23 12:15:49 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:100) in /home/students/dig4530c_group04/public_html/v2/system/engine/controller.php on line 29
2011-11-23 13:35:45 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-26 12:28:22 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-27 15:30:46 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-27 15:30:46 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/admin/index.php:79) in /home/students/dig4530c_group04/public_html/v2/system/engine/controller.php on line 28
2011-11-27 15:30:46 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/admin/index.php:79) in /home/students/dig4530c_group04/public_html/v2/system/engine/controller.php on line 29
